domain,topic,video_title,video_url,comment,sentiment,comment_en,clean_comment
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,"Kecerdasan Buatan (Artificial intelligence - AI)
Mungkin boleh digunakan untuk membenteras elemen rasuah dan salahguna kuasa dalam sektor perkhidmatan awam?

Apabila seseorang penjawat awam mempunyai gaya hidup mewah yang tidak berpadanan dengan gaji pendapatan bulanan sebagai penjawat awam,

AI dengan program tertentu boleh membuat semak silang data terutamanya data² pemilikan aset dan pemilikan akaun perbankan yang berkaitan dengan aliran kewangan individu dan syarikat?

Data² pemilikan seperti :
✅ Pemilikan kenderaan (jumlah yang luar biasa dan berharga mewah), melibatkan pelbagai agensi milik kerajaan seperti JPJ dan rekod pelupusan pemilikan kenderaan (mencairkan aset kepada bentuk wang tunai)
✅ Pemilikan Hartanah pada jumlah luar biasa dan harga diluar kemampuan seorang penjawat awam, melibatkan beberapa agensi dan jabatan kerajaan di peringkat persekutuan dan negeri (pihak berkuasa tempatan seperti rekod cukai pintu sebagai pemilik hartanah dan pejabat tanah iaitu rekod cukai tanah sebagai pemilik hartanah jenis bertanah atau berstrata)
dan rekod pelupusan pemilikan hartanah (mencairkan aset kepada bentuk wang tunai)
✅ Pemilikan akaun bank, pemilikan kad kredit premium dengan tahap had perbelanjaan yang luar biasa, rekod loan serta pembayaran loan dan akaun E-wallet, yang melibatkan BNM dan beberapa agensi berkaitan 
✅ SSM, bagi mereka dalam perkhidmatan awam yang mempunyai pendapatan perniagaan...dengan akaun syarikat beraudit dan kesahihan keuntungan pendapatan perniagaan dan berkait dengan data di LHDN
✅ LHDN, data² rekod pembelian pemilikan harta alih atau harta tidak alih yang dibeli secara tunai atau dipindahmilik secara tempoh yang pendek diluar kebiasaan sesuatu pemilikan harta alih dan harta tidak alih sebagai seorang penjawat awam
✅ Rekod KASTAM, bagi pelbagai pembayaran berkaitan import export barangan jika berkaitan pendapatan perniagaan yang disahkan oleh SSM
✅ Rekod caruman KWSP (cerminan pendapatan bulanan)
✅ Rekod PERKESO, jika terlibat sebagai majikan atau pekerja yang mencarum (cerminan kepada pendapatan yang diraihkan daripada pelbagai aktiviti perniagaan disahkan oleh SSM)
✅ Bursa Saham dan institusi pelaburan saham seperti ASB PNB Tabung Haji, berkaitan pemilikan saham pada jumlah yang luar biasa bagi kemampuan dengan pendapatan gaji bulanan seorang penjawat awam
✅ Rekod IMIGRESEN berkaitan kekerapan perjalanan ke luar negara (melancong ke destinasi yang memerlukan perbelanjaan besar) dengan kerap dalam setahun 
✅ Rekod-rekod Pembelian barangan jenama mewah (jam tangan, bag 🛍️ tangan, dan lain-lain) secara tunai atau cash atau sebaliknya 
✅ Rekod-rekod Pembelian logam berharga (seperti emas) dan barangan perhiasan mewah secara tunai atau sebaliknya (rantai leher bertatahkan berlian dan sebagainya)
✅Rekod pemilikan sijil-sijil insurans atau takaful (melibatkan pembayaran premium bulanan pada harga yang luar biasa)
✅ Paparan gaya hidup di semua platform media sosial juga merupakan suatu cerminan atau tanda-tanda awal

Amalan kebiasaan apabila terlibat dengan elemen rasuah dan salahguna kuasa, pastinya akan melibatkan ahli keluarga terdekat, pasangan (suami / isteri), anak-anak, ibubapa, saudara-mara atau proksi rakan-rakan yang mempunyai syarikat perniagaan (bertujuan untuk parking duit dengan menggunakan platform fasiliti akaun kewangan milik syarikat bagi pelbagai perbelanjaan dan pembayaran gaya hidup) untuk mengalihkan hasil yang diperolehi daripada aktiviti tersebut.

Mungkin manfaat teknologi AI ini boleh dilaksanakan untuk melakukan semak silang data dalam sektor perkhidmatan awam bagi elemen membenteras gejala dan budaya rasuah serta salahguna kuasa jawatan dalam perkhidmatan awam di Malaysia 🇲🇾",Neutral,"Artificial Intelligence (AI)

Could Artificial Intelligence (AI) be used to combat corruption and abuse of power in the public sector?

When a public servant has a luxurious lifestyle that is clearly inconsistent with their monthly salary, AI, through specialized programs, could perform cross-checks across multiple databases—especially records of asset ownership and banking information related to the financial activities of individuals and companies.

The data that could be cross-referenced includes:

✅ Vehicle ownership (an unusually large number of vehicles or ownership of luxury vehicles), involving multiple government agencies such as the Road Transport Department (JPJ), including records of vehicle sales or disposals (converting assets into cash).
✅ Property ownership involving an unusually high number of properties or properties beyond what a public servant could reasonably afford, using records from local authorities (property assessment tax), land offices (land tax and ownership records for landed and strata properties), and records of property sales or transfers (converting assets into cash).
✅ Bank accounts, premium credit cards with unusually high spending limits, loan records and repayments, and e-wallet accounts, involving the central bank (BNM) and other relevant agencies.
✅ Business ownership records (SSM) for public servants with business income, including audited company accounts, verification of business profits, and matching this information with tax records maintained by the Inland Revenue Board (LHDN).
✅ LHDN (tax authority) records, including purchases of movable and immovable assets made in cash or assets transferred within unusually short periods, where such ownership appears inconsistent with a public servant's income.
✅ Customs records, including import and export payments related to business income verified through SSM.
✅ Employees Provident Fund (EPF/KWSP) contribution records, which reflect monthly employment income.
✅ Social Security Organization (PERKESO) records, if the individual is an employer or employee making contributions, reflecting income from business activities verified by SSM.
✅ Stock market and investment institutions, such as Bursa Malaysia, ASB, PNB, and Tabung Haji, to identify unusually large investment holdings that do not match the person's salary.
✅ Immigration records, particularly frequent overseas travel to expensive destinations requiring significant spending.
✅ Records of luxury goods purchases, such as luxury watches, handbags, and other branded products, whether paid in cash or through other methods.
✅ Purchases of precious metals and luxury jewelry, such as gold, diamond necklaces, and similar items.
✅ Insurance or takaful policies, particularly those involving unusually high monthly premium payments.
✅ Lifestyle displays on social media platforms, which may serve as early indicators of possible corruption or abuse of power.

The author further argues that corruption and abuse of power often involve close family members, spouses, children, parents, relatives, or proxy associates who own businesses. These individuals or companies may allegedly be used to hold or move illicit funds through corporate financial accounts to finance lavish lifestyles.

Therefore, the author suggests that AI technology could be implemented to perform comprehensive cross-checks across government databases to help combat corruption and abuse of power within Malaysia's public service.",artificial intelligence ai could artificial intelligence ai used combat corruption abuse power public sector public servant luxurious lifestyle clearly inconsistent monthly salary ai specialized program could perform cross check across multiple database especially record asset ownership banking information related financial activity individual company data could cross referenced includes check mark button vehicle ownership unusually large number vehicle ownership luxury vehicle involving multiple government agency road transport department jpj including record vehicle sale disposal converting asset cash check mark button property ownership involving unusually high number property property beyond public servant could reasonably afford using record local authority property assessment tax land office land tax ownership record landed stratum property record property sale transfer converting asset cash check mark button bank account premium credit card unusually high spending limit loan record repayment e wallet account involving central bank bnm relevant agency check mark button business ownership record ssm public servant business income including audited company account verification business profit matching information tax record maintained inland revenue board lhdn check mark button lhdn tax authority record including purchase movable immovable asset made cash asset transferred within unusually short period ownership appears inconsistent public servant income check mark button custom record including import export payment related business income verified ssm check mark button employee provident fund epf kwsp contribution record reflect monthly employment income check mark button social security organization perkeso record individual employer employee making contribution reflecting income business activity verified ssm check mark button stock market investment institution bursa malaysia asb pnb tabung haji identify unusually large investment holding match person salary check mark button immigration record particularly frequent overseas travel expensive destination requiring significant spending check mark button record luxury good purchase luxury watch handbag branded product whether paid cash method check mark button purchase precious metal luxury jewelry gold diamond necklace similar item check mark button insurance takaful policy particularly involving unusually high monthly premium payment check mark button lifestyle display social medium platform may serve early indicator possible corruption abuse power author argues corruption abuse power often involve close family member spouse child parent relative proxy associate business individual company may allegedly used hold move illicit fund corporate financial account finance lavish lifestyle therefore author suggests ai technology could implemented perform comprehensive cross check across government database help combat corruption abuse power within malaysia public service
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Fix our Government websites first la then think of doing AI chip.,Neutral,Fix our government websites first then think about doing AI chip.,fix government website first think ai chip
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,INI BARU PM TERBAIK SENTIASA FIKIR KEHADAPAN ❤❤,Positive,I am the Prime Minister of the Republic of Sri Lanka.,prime minister republic sri lanka
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Okey next teknologi kuantum komputer pulak ni pun penting..😂,Positive,Okay next technology quantum computer will be important..😂,okay next technology quantum computer important face tear joy
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Hope this project goes according to plan.,Neutral,Hope this project goes according to plan.,hope project go according plan
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Still waiting for more official information.,Neutral,Still waiting for more official information.,still waiting official information
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Wonder if this is only the first phase.,Neutral,Wonder if this is only the first phase.,wonder first phase
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Maybe more announcements are coming soon.,Neutral,Maybe more announcements are coming soon.,maybe announcement coming soon
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,It will be interesting to watch this develop.,Neutral,It will be interesting to watch this develop.,interesting watch develop
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Let's see the outcome in a few years.,Neutral,Let's see the outcome in a few years.,let u see outcome year
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Finally some good news for Malaysia.,Positive,Finally some good news for Malaysia.,finally good news malaysia
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Proud to see Malaysia getting noticed.,Positive,Proud to see Malaysia getting noticed.,proud see malaysia getting noticed
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,This is the kind of investment we need.,Positive,This is the kind of investment we need.,kind investment need
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Hope more companies choose Malaysia.,Positive,Hope more companies choose Malaysia.,hope company choose malaysia
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Great move for our future.,Positive,Great move for our future.,great move future
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,This can create more opportunities for young people.,Positive,This can create more opportunities for young people.,create opportunity young people
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Malaysia truly awesome,Positive,Malaysia is really awesome,malaysia really awesome
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,HEBAT 🎉🎉🎉🎉🎉🎉 ❤❤❤❤❤ MALAYSIA AI TECH,Positive,AWESOME 🎉🎉🎉🎉🎉🎉 ❤❤❤❤❤ MALAYSIA AI TECH,awesome party popper party popper party popper party popper party popper party popper red heart red heart red heart red heart red heart malaysia ai tech
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Good move. 👍,Positive,Good move.,good move
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,AI ni mcm internet dulu waktu mula-mula tiba tahun 90an. Masih dianggap remeh. Tengok la bertapa besarnya Internet sekarang. Sebab tu la PMX begitu serius dalam urusan AI ni.,Neutral,AI is like the internet back when it first arrived in the 90s. It was still considered trivial. Just look at how huge the Internet is now. That's why PMX takes AI so seriously.,ai like internet back first arrived still considered trivial look huge internet pmx take ai seriously
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Telah lama menanti negara punyai kilang chip buatan sendiri. Tahniah,Positive,It has been a long wait for the country to have its own chip factory. Congratulations,long wait country chip factory congratulation
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Terbaik 🎉,Positive,Best of the best,best best
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Terbaik terus maju jaya untuk rakyat Malaysia,Positive,All the best and keep moving forward for the people of Malaysia,best keep moving forward people malaysia
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Sekarang dah ade lagi canggih quantum komputer..ni teknologi level atas dari AI..😅😊❤😂,Positive,Now there are even more advanced quantum computers.. this is next-level technology beyond AI..😅😊❤😂,even advanced quantum computer next level technology beyond ai grinning face sweat smiling face smiling eye red heart face tear joy
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,"Congratz, this is what the PM should be.",Positive,"Congratulations, this is what the PM should be.",congratulation pm
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Wow hrp mlysia ble cipta 3nm,Neutral,"Wow, hope Malaysia can produce 3nm chips",wow hope malaysia produce nm chip
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,"Dengan pekerjaan profesional sampai 10k orang, amat penting",Positive,"With professional jobs for up to 10k people, it's very important",professional job k people important
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Chip AI bagus ini amat diperlukan oleh China dan Russia,Positive,good AI chips are needed by China and Russia,good ai chip needed china russia
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,A.I tu mesti versi melayu boleh loghat pelbagai dialek-dialek negeri dalam Malaysia..A.I cina tu DeepSeek..A.I mat salleh tu ChatGPT...majulah Malaysiaku.🇲🇾🎉🎉🎉,Positive,That A.I must be the Malay version that can speak various state dialects in Malaysia.. The Chinese A.I is DeepSeek.. The Western A.I is ChatGPT... Onward my Malaysia.🇲🇾🎉🎉🎉,must malay version speak various state dialect malaysia chinese deepseek western chatgpt onward malaysia malaysia party popper party popper party popper
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Teknologi Semikonduktor bukan sahaja menyumbang  kepada ekonomi negara disamping itu memberi peluang perkajaan kepada rakyat Malaysia.,Positive,Semiconductor technology not only contributes to the country's economy but also provides job opportunities for Malaysians.,semiconductor technology contributes country economy also provides job opportunity malaysian
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Terus maju jaya malaysia.,Positive,"Keep moving forward, Malaysia.",keep moving forward malaysia
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,MANTAP PMX KERAJAAN PERPADUAN MADANI 🇲🇾👏,Positive,SOLID PMX OF THE MADANI UNITY GOVERNMENT 🇲🇾👏,solid pmx madani unity government malaysia clapping hand
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,"Bukan kita dah ada ke, cheap AI.....Anliwat.......🤭🤭🤭",Negative,"Don't we already have, cheap AI.....Screw.......🤭🤭🤭",already cheap ai screw face hand mouth face hand mouth face hand mouth
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,👍👍👍🇲🇾🇲🇾🇲🇾,Positive,👍👍👍🇲🇾🇲🇾🇲🇾,thumb thumb thumb malaysia malaysia malaysia
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,semogaa hubungan diantara Malaysia dengan negara luar kekal baik selamanya,Neutral,Hopefully the relationship between Malaysia and other countries stays good forever,hopefully relationship malaysia country stay good forever
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,"Tu AI software. Yg software dh banyak tpi kita skng mau buat chip khas nk process software2 tu. So, pasni (if berjaya) spe2 nk buat AI software kena pastikan chip yg kita buat boleh function",Neutral,"It's AI software. There are already a lot of software, but now we want to make a special chip to process those software. So, later (if successful) anyone who wants to make AI software has to make sure the chip we made can function.",ai software already lot software want make special chip process software later successful anyone want make ai software make sure chip made function
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM, @codewithzi-5817  so kalau chip AI software boleh digabungkan dengan Android silicon apa akan jadi?,Neutral,@codewithzi-5817 So if the chip AI software can be combined with Android silicon what will become?,codewithzi chip ai software combined android silicon become
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,"AI tu software bang , chip semiconductor otak peranti dalam peralatan bang .",Neutral,"AI is software, man, the semiconductor chip is the brain of the device inside the equipment, man.",ai software man semiconductor chip brain device inside equipment man
AI,AI Chips,"
TEKNOLOGI SEMIKONDUKTOR | Malaysia Bangunkan Cip AI Bagi Pasaran Dunia - Anwar",https://www.youtube.com/watch?v=bgSpzo2udIM,Malaysia sudah jd negara maju kog... Tenang sj😅,Positive,Malaysia has already become a developed country... Just relax 😅,malaysia already become developed country relax grinning face sweat
AI,"
AI Powerhouse","
Malaysia Aims To Become AI Powerhouse In Southeast Asia | CNA Correspondent",https://www.youtube.com/watch?v=TscRF_AFQqI,"This is a very specific gripe, but I HATE how our government is using AI art. 

AI in their announcements. 

AI in their ART HISTORY ads

NO MORE PLSSSSSSSSS. We have a lot of good artists! I Pls. 

Plus, overuse AI and we become dumb.",Negative,"This is a very specific complaint, but I HATE how our government is using AI art. AI in their announcements. AI in their ART HISTORY ads NO MORE PLSSSSSSS. We have a lot of good artists! I Pls. Plus, overuse AI and we become dumb.",specific complaint hate government using ai art ai announcement ai art history ad plss lot good artist pls plus overuse ai become dumb
AI,"
AI Powerhouse","
Malaysia Aims To Become AI Powerhouse In Southeast Asia | CNA Correspondent",https://www.youtube.com/watch?v=TscRF_AFQqI,Got talent but ignored making them leave the country. All politics and only want power and money and corruption,Negative,All politics and only want power and money,politics want power money
AI,"
AI Powerhouse","
Malaysia Aims To Become AI Powerhouse In Southeast Asia | CNA Correspondent",https://www.youtube.com/watch?v=TscRF_AFQqI,"We have space, electricity, water, human resource, all the good basic we have it",Positive,"We have space, electricity, water, human resources, all the good basic we have it",space electricity water human resource good basic
AI,"
AI Powerhouse","
Malaysia Aims To Become AI Powerhouse In Southeast Asia | CNA Correspondent",https://www.youtube.com/watch?v=TscRF_AFQqI,Tq good support,Positive,Thank you good support,thank good support
AI,"
AI Powerhouse","
Malaysia Aims To Become AI Powerhouse In Southeast Asia | CNA Correspondent",https://www.youtube.com/watch?v=TscRF_AFQqI,"What a load of rubbish propaganda/documentary on AI, so what does the country do with the millions of unemployed workers! 😂",Negative,"What a load of rubbish propaganda/documentary on AI, so what does the country do with the millions of unemployed workers! 😂",load rubbish propaganda documentary ai country million unemployed worker face tear joy
AI,"
AI Powerhouse","
Malaysia Aims To Become AI Powerhouse In Southeast Asia | CNA Correspondent",https://www.youtube.com/watch?v=TscRF_AFQqI,"clowns. 3.5 , keep quiet and come sg work for me",Negative,"clowns. 3.5 , keep quiet and come sg work for me",clown keep quiet come sg work
